Repository Name,Username,Stars,URL
the-art-of-command-line,jlevy,92900,https://github.com/jlevy/the-art-of-command-line
nvm,nvm-sh,49900,https://github.com/nvm-sh/nvm
fzf,junegunn,37800,https://github.com/junegunn/fzf
pure-bash-bible,dylanaraps,27300,https://github.com/dylanaraps/pure-bash-bible
dotfiles,mathiasbynens,26600,https://github.com/mathiasbynens/dotfiles
shellcheck,koalaman,25400,https://github.com/koalaman/shellcheck
acme.sh,acmesh-official,22800,https://github.com/acmesh-official/acme.sh
awesome-shell,alebcay,21700,https://github.com/alebcay/awesome-shell
awesome-cheatsheets,LeCoupa,21100,https://github.com/LeCoupa/awesome-cheatsheets
starship,starship,17700,https://github.com/starship/starship
linux-command,jaywcjlove,16300,https://github.com/jaywcjlove/linux-command
openvpn-install,Nyr,13500,https://github.com/Nyr/openvpn-install
powerline,powerline,12700,https://github.com/powerline/powerline
shelljs,shelljs,12600,https://github.com/shelljs/shelljs
bash-it,Bash-it,12400,https://github.com/Bash-it/bash-it
neofetch,dylanaraps,12100,https://github.com/dylanaraps/neofetch
terminalizer,faressoft,11700,https://github.com/faressoft/terminalizer
dockerfiles,jessfraz,11100,https://github.com/jessfraz/dockerfiles
navi,denisidoro,9400,https://github.com/denisidoro/navi
m-cli,rgcr,8500,https://github.com/rgcr/m-cli
TabNine,codota,8400,https://github.com/codota/TabNine
Bash-Snippets,alexanderepstein,8400,https://github.com/alexanderepstein/Bash-Snippets
mal,kanaka,8000,https://github.com/kanaka/mal
direnv,direnv,7600,https://github.com/direnv/direnv
awesome-cheatsheets,skywind3000,7300,https://github.com/skywind3000/awesome-cheatsheets
openvpn-install,angristan,6500,https://github.com/angristan/openvpn-install
enquirer,enquirer,6100,https://github.com/enquirer/enquirer
Gogh,Mayccoll,6000,https://github.com/Mayccoll/Gogh
awesome-dotfiles,webpro,5900,https://github.com/webpro/awesome-dotfiles
privilege-escalation-awesome-scripts-suite,carlospolop,5800,https://github.com/carlospolop/privilege-escalation-awesome-scripts-suite
powerline-shell,b-ryan,5600,https://github.com/b-ryan/powerline-shell
dev-setup,donnemartin,5500,https://github.com/donnemartin/dev-setup
useful-scripts,oldratlee,5300,https://github.com/oldratlee/useful-scripts
gitui,extrawurst,5200,https://github.com/extrawurst/gitui
bash-oo-framework,niieani,5200,https://github.com/niieani/bash-oo-framework
dehydrated,dehydrated-io,5100,https://github.com/dehydrated-io/dehydrated
git-quick-stats,arzzen,4900,https://github.com/arzzen/git-quick-stats
autoenv,inishchith,4800,https://github.com/inishchith/autoenv
bash-handbook,denysdovhan,4500,https://github.com/denysdovhan/bash-handbook
liquidprompt,nojhan,4100,https://github.com/nojhan/liquidprompt
ntfy,dschep,4000,https://github.com/dschep/ntfy
sh,mvdan,3900,https://github.com/mvdan/sh
awesome-bash,awesome-lists,3800,https://github.com/awesome-lists/awesome-bash
Pokemon-Terminal,LazoCoder,3600,https://github.com/LazoCoder/Pokemon-Terminal
autocomplete,withfig,3600,https://github.com/withfig/autocomplete
airgeddon,v1s1t0r1sh3r3,3500,https://github.com/v1s1t0r1sh3r3/airgeddon
nb,xwmx,3400,https://github.com/xwmx/nb
fff,dylanaraps,3300,https://github.com/dylanaraps/fff
Caporal.js,mattallty,3200,https://github.com/mattallty/Caporal.js
screenFetch,KittyKatt,3200,https://github.com/KittyKatt/screenFetch
zoxide,ajeetdsouza,3100,https://github.com/ajeetdsouza/zoxide
