Repository Name,Username,Stars,URL
Tasmota,arendst,15500,https://github.com/arendst/Tasmota
johnny-five,rwaldron,12300,https://github.com/rwaldron/johnny-five
Arduino,arduino,11900,https://github.com/arduino/Arduino
Marlin,MarlinFirmware,11500,https://github.com/MarlinFirmware/Marlin
esp8266_deauther,SpacehuhnTech,8700,https://github.com/SpacehuhnTech/esp8266_deauther
tinygo,tinygo-org,8300,https://github.com/tinygo-org/tinygo
gobot,hybridgroup,7200,https://github.com/hybridgroup/gobot
arduino-esp32,espressif,7000,https://github.com/espressif/arduino-esp32
lowlevelprogramming-university,gurugio,6900,https://github.com/gurugio/lowlevelprogramming-university
ArduinoJson,bblanchon,5200,https://github.com/bblanchon/ArduinoJson
platformio-core,platformio,5200,https://github.com/platformio/platformio-core
WiFiManager,tzapu,4700,https://github.com/tzapu/WiFiManager
cylon,hybridgroup,3800,https://github.com/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,3300,https://github.com/Arduino-IRremote/Arduino-IRremote
blynk-library,blynkkk,3200,https://github.com/blynkkk/blynk-library
nectarjs,NectarJS,3000,https://github.com/NectarJS/nectarjs
arduino-cli,arduino,3000,https://github.com/arduino/arduino-cli
PJON,gioblu,2600,https://github.com/gioblu/PJON
blynk-server,blynkkk,2300,https://github.com/blynkkk/blynk-server
OpenMQTTGateway,1technophile,2200,https://github.com/1technophile/OpenMQTTGateway
audio-reactive-led-strip,scottlawsonbc,2100,https://github.com/scottlawsonbc/audio-reactive-led-strip
OpenBot,intel-isl,1900,https://github.com/intel-isl/OpenBot
IRremoteESP8266,crankyoldgit,1800,https://github.com/crankyoldgit/IRremoteESP8266
Serial-Studio,Serial-Studio,1800,https://github.com/Serial-Studio/Serial-Studio
splitflap,scottbez1,1800,https://github.com/scottbez1/splitflap
RF24,nRF24,1700,https://github.com/nRF24/RF24
Arduino_Core_STM32,stm32duino,1600,https://github.com/stm32duino/Arduino_Core_STM32
esp8266-oled-ssd1306,ThingPulse,1500,https://github.com/ThingPulse/esp8266-oled-ssd1306
blinker-library,blinker-iot,1400,https://github.com/blinker-iot/blinker-library
TFT_eSPI,Bodmer,1400,https://github.com/Bodmer/TFT_eSPI
