Repository Name,Username,Stars,URL
awesome,sindresorhus,166000,https://github.com/sindresorhus/awesome
awesome-python,vinta,100000,https://github.com/vinta/awesome-python
awesome-go,avelino,65800,https://github.com/avelino/awesome-go
awesome-selfhosted,awesome-selfhosted,60400,https://github.com/awesome-selfhosted/awesome-selfhosted
papers-we-love,papers-we-love,46600,https://github.com/papers-we-love/papers-we-love
the-book-of-secret-knowledge,trimstray,46400,https://github.com/trimstray/the-book-of-secret-knowledge
Awesome-Hacking,Hack-with-Github,45000,https://github.com/Hack-with-Github/Awesome-Hacking
HelloGitHub,521xueweihan,44500,https://github.com/521xueweihan/HelloGitHub
awesome-mac,jaywcjlove,43100,https://github.com/jaywcjlove/awesome-mac
awesome-nodejs,sindresorhus,41700,https://github.com/sindresorhus/awesome-nodejs
awesome-interview-questions,DopplerHQ,41700,https://github.com/DopplerHQ/awesome-interview-questions
awesome-android-ui,wasabeef,40900,https://github.com/wasabeef/awesome-android-ui
awesome-ios,vsouza,37900,https://github.com/vsouza/awesome-ios
awesome-courses,prakhar1989,37600,https://github.com/prakhar1989/awesome-courses
awesome-flutter,Solido,36500,https://github.com/Solido/awesome-flutter
awesome-scalability,binhnguyennus,34800,https://github.com/binhnguyennus/awesome-scalability
awesome-for-beginners,MunGell,32700,https://github.com/MunGell/awesome-for-beginners
awesome-cpp,fffaraz,32299,https://github.com/fffaraz/awesome-cpp
github-cheat-sheet,tiimgreen,31900,https://github.com/tiimgreen/github-cheat-sheet
frontend-dev-bookmarks,dypsilon,31600,https://github.com/dypsilon/frontend-dev-bookmarks
awesome-java,akullpp,29200,https://github.com/akullpp/awesome-java
open-source-ios-apps,dkhamsing,27700,https://github.com/dkhamsing/open-source-ios-apps
awesome-react-components,brillout,27400,https://github.com/brillout/awesome-react-components
open-source-mac-os-apps,serhii-londar,26400,https://github.com/serhii-londar/open-source-mac-os-apps
awesome-php,ziadoz,25500,https://github.com/ziadoz/awesome-php
awesome-macos-command-line,herrbischoff,25400,https://github.com/herrbischoff/awesome-macos-command-line
Awesome-Design-Tools,goabstract,23200,https://github.com/goabstract/Awesome-Design-Tools
awesome-shell,alebcay,21700,https://github.com/alebcay/awesome-shell
awesome-electron,sindresorhus,21700,https://github.com/sindresorhus/awesome-electron
awesome-swift,matteocrippa,20900,https://github.com/matteocrippa/awesome-swift
